Specimen,Shark_species,Visual_ID,BLAST_ID
C1,Blacknose,Unidentified teleost,Micropogonias
C10,Atlantic Sharpnose,Farfantepenaeus aztecus,Farfantepenaeus
C100,Bonnethead,Penaeid shrimp,Farfantepenaeus
C101,Bonnethead,Callinectes sapidus,Callinectes sapidus
C102,Bonnethead,Callinectes sapidus,Callinectes sapidus
C103,Bonnethead,Callinectes spp,Callinectes sapidus
C104,Bonnethead,Callinectes spp,Callinectes sapidus
C105,Bonnethead,Callinectes sapidus,Callinectes sapidus
C106,Bonnethead,Barnacles,Chelonibia
C107,Bonnethead,Farfantepenaeus spp,Farfantepenaeus
C108,Bonnethead,Callinectes sapidus,Callinectes sapidus
C109,Bonnethead,Unidentified portunid,Callinectes sapidus
C11,Atlantic Sharpnose,Tunicate,No DNA
C110,Bonnethead,Unidentified portunid,Callinectes sapidus
C111,Bonnethead,Callinectes spp,Callinectes sapidus
C112,Bonnethead,Callinectes spp,Callinectes sapidus
C113,Bonnethead,Callinectes spp,Callinectes sapidus
C114,Bonnethead,Callinectes sapidus,Callinectes sapidus
C115,Bonnethead,Unidentified crab,Callinectes sapidus
C116,Blacktip,Unidentified teleost,Brevoortia
C117,Bonnethead,Callinectes sapidus,Callinectes sapidus
C118,Bonnethead,Callinectes sapidus,Callinectes sapidus
C119,Bonnethead,Callinectes sapidus,Callinectes sapidus
C12,Atlantic Sharpnose,Tunicate,No DNA
C120,Atlantic Sharpnose,Callinectes spp,Arenaeus cribrarius
C121,Bonnethead,Callinectes sapidus,Callinectes sapidus
C13,Atlantic Sharpnose,Unidentified teleost,Engraulidae
C14,Atlantic Sharpnose,Farfantepenaeus aztecus,Farfantepenaeus
C15,Atlantic Sharpnose,Unidentified teleost,Anchoa hepsetus
C16,Atlantic Sharpnose,Unidentified teleost,Chloroscombrus chrysurus
C17,Atlantic Sharpnose,Unidentified teleost,Cynoscion nothus
C18,Atlantic Sharpnose,Unidentified teleost,Anchoa hepsetus
C19,Blacknose,Pinfish,Lagodon rhomboides
C2,Blacknose,Unidentified teleost,Micropogonias undulatus
C20,Blacknose,Unidentified teleost,Trichiurus lepturus
C21,Blacknose,Unidentified teleost,Trichiurus lepturus
C22,Blacknose,Unidentified teleost,Trichiurus lepturus
C23,Blacknose,Unidentified teleost,No DNA
C24,Blacknose,Unidentified teleost,Leiostomus xanthurus
C25,Blacknose,Unidentified teleost,Leiostomus xanthurus
C26,Blacknose,Unidentified teleost,Trichiurus lepturus
C27,Blacktip,Unidentified teleost,No DNA
C28,Blacknose,Unidentified teleost,Leiostomus xanthurus
C29,Blacknose,Unidentified teleost,Leiostomus xanthurus
C3,Blacknose,Unidentified teleost,Anchoa hepsetus
C30,Blacknose,Unidentified teleost,Leiostomus xanthurus
C31,Blacknose,Atlantic Croaker,Micropogonias undulatus
C32,Blacknose,Unidentified teleost,Leiostomus xanthurus
C33,Blacknose,Unidentified teleost,Leiostomus xanthurus
C34,Blacknose,Unidentified teleost,Leiostomus xanthurus
C35,Atlantic Sharpnose,Atlantic Croaker,No DNA
C36,Atlantic Sharpnose,Unidentified teleost,Cynoscion
C37,Atlantic Sharpnose,Pinfish,No DNA
C38,Atlantic Sharpnose,Unidentified sciaenid,No DNA
C39,Atlantic Sharpnose,Atlantic Croaker,Micropogonias undulatus
C4,Blacknose,Unidentified teleost,Lagodon rhomboides
C40,Atlantic Sharpnose,Unidentified bothidae,Citharichthys spilopterus
C41,Atlantic Sharpnose,Unidentified teleost,No DNA
C42,Atlantic Sharpnose,Unidentified teleost,Xyrichtys novacula
C43,Blacknose,Unidentified teleost,Xyrichtys novacula
C44,Blacktip,Unidentified teleost,Brevoortia
C45,Atlantic Sharpnose,Atlantic Croaker,Sipunculus nudus
C46,Blacktip,Unidentified teleost,Micropogonias undulatus
C47,Atlantic Sharpnose,Unidentified sciaenid,Micropogonias undulatus
C48,Atlantic Sharpnose,Unidentified teleost,No DNA
C49,Atlantic Sharpnose,Unidentified teleost,Leiostomus xanthurus
C5,Blacknose,Unidentified teleost,Micropogonias
C50,Blacktip,Atlantic Croaker,Micropogonias undulatus
C51,Blacktip,Unidentified teleost,Myrophis punctatus
C52,Blacktip,Unidentified teleost,Peprilus triacanthus
C53,Blacktip,Unidentified teleost,No DNA
C54,Bonnethead,Unidentified teleost,Leiostomus xanthurus
C55,Bonnethead,Unidentified stomatopod,Squillidae
C58,Atlantic Sharpnose,Unidentified teleost,Anchoa hepsetus
C59,Atlantic Sharpnose,Unidentified teleost,Anchoa hepsetus
C6,Blacknose,Unidentified teleost,Micropogonias
C60,Atlantic Sharpnose,Isopod,No DNA
C61,Blacknose,Atlantic Croaker,Micropogonias undulatus
C62,Atlantic Sharpnose,Penaeid shrimp,Micropogonias undulatus
C63,Atlantic Sharpnose,Atlantic Croaker,Micropogonias undulatus
C64,Atlantic Sharpnose,Unidentified portunid,No DNA
C65,Atlantic Sharpnose,Atlantic Croaker,Micropogonias undulatus
C66,Atlantic Sharpnose,Unidentified teleost,Micropogonias
C67,Atlantic Sharpnose,Spot,Leiostomus xanthurus
C68,Atlantic Sharpnose,Unidentified teleost,Micropogonias
C69,Atlantic Sharpnose,Teuthoidea,Lolliguncula brevis
C7,Blacknose,Unidentified teleost,Leiostomus xanthurus
C70,Atlantic Sharpnose,Unidentified teleost,Paralichthyidae
C71,Blacktip,Brevoortia tyrannus,Brevoortia
C72,Atlantic Sharpnose,Pinfish,Micropogonias
C74,Bonnethead,Callinectes sapidus,Callinectes sapidus
C75,Bonnethead,Callinectes spp,Callinectes sapidus
C76,Bonnethead,Squilla spp,Stomatopoda
C77,Bonnethead,Callinectes sapidus,Callinectes sapidus
C78,Bonnethead,Penaeid shrimp,Callinectes sapidus
C79,Bonnethead,Unidentified crab,Farfantepenaeus
C8,Blacknose,Unidentified teleost,Micropogonias
C80,Bonnethead,Callinectes sapidus,Callinectes sapidus
C81,Blacknose,Farfantepenaeus aztecus,Farfantepenaeus
C82,Atlantic Sharpnose,Tunicate,No DNA
C83,Atlantic Sharpnose,Iridescent swimming crab,Achelous
C84,Atlantic Sharpnose,Tunicate,No DNA
C85,Atlantic Sharpnose,Unidentified prey,No DNA
C86,Atlantic Sharpnose,Unidentified shrimp,Rimapenaeus constrictus
C87,Atlantic Sharpnose,Unidentified teleost,No DNA
C88,Bonnethead,Callinectes sapidus,Callinectes sapidus
C89,Bonnethead,Callinectes sapidus,Callinectes
C9,Atlantic Sharpnose,Penaeid shrimp,Rimapenaeus constrictus
C90,Bonnethead,horseshoe crab,Callinectes sapidus
C91,Bonnethead,Callinectes sapidus,Callinectes sapidus
C92,Blacktip,Teuthoidea,Lolliguncula brevis
C93,Bonnethead,Callinectes spp,Callinectes sapidus
C94,Bonnethead,Callinectes sapidus,Callinectes sapidus
C95,Bonnethead,Callinectes spp,Callinectes sapidus
C96,Bonnethead,Ovalipes spp,Ovalipes
C97,Bonnethead,Callinectes sapidus,Callinectes sapidus
C98,Bonnethead,Squilla spp,Stomatopoda
C99,Bonnethead,Pagurus pollicaris,Pagurus pollicaris